year_and_fraction,GMSL_cm,GMSL_60smooth
1994.276712,0.190604,0.091215
1994.29589,0.138803,0.039357
1994.315069,0.10236,-0.034707
1994.334247,-0.121434,-0.088259
1994.353425,-0.2647,-0.133853
1994.372603,-0.327389,-0.158659
1994.391781,-0.408872,-0.18098
1994.410959,-0.279165,-0.212153
1994.430137,-0.234888,-0.214465
1994.449315,-0.032644,-0.195134
1994.468493,-0.062088,-0.164696
1994.487671,-0.178198,-0.1192
1994.506849,-0.142242,-0.067783
1994.526027,-0.090717,0.004878
1994.545206,-0.053452,0.069166
1994.564384,0.00059,0.148188
1994.583562,0.183588,0.25167
1994.60274,0.419064,0.363068
1994.621918,0.54595,0.480752
1994.641096,0.649111,0.596378
1994.660274,0.753135,0.715792
1994.679452,0.860346,0.822989
1994.69863,0.968439,0.913866
1994.717808,0.987181,1.010257
1994.736986,1.075315,1.103744
1994.756164,1.148356,1.177682
1994.775343,1.236962,1.224587
1994.794521,1.41347,1.253671
1994.813699,1.490494,1.263125
1994.832877,1.418578,1.259407
1994.852055,1.282484,1.242869
1994.871233,1.230202,1.237221
1994.890411,1.072265,1.229078
1994.909589,1.04185,1.197846
1994.928767,0.999514,1.169396
1994.947945,1.186136,1.131231
1994.967123,1.340179,1.089607
1994.986301,1.209404,1.085973
1995.00548,1.162532,1.091333
1995.024658,0.938995,1.071271
1995.043836,0.855587,1.00437
1995.063014,1.039559,0.90932
1995.082192,1.090088,0.827553
1995.10137,0.818961,0.76446
1995.120548,0.58402,0.741384
1995.139726,0.484734,0.715384
1995.158904,0.4735,0.654819
1995.178082,0.594692,0.58763
1995.19726,0.731316,0.551455
1995.216438,0.621582,0.54287
1995.235616,0.494476,0.545636
1995.254795,0.485391,0.527135
1995.273973,0.493387,0.481206
1995.293151,0.506749,0.427482
1995.312329,0.509629,0.388914
1995.331507,0.306995,0.385457
1995.350685,0.181334,0.394379
1995.369863,0.2478,0.395275
1995.389041,0.274463,0.390804
1995.408219,0.463369,0.361086
1995.427397,0.565684,0.33908
1995.446575,0.501456,0.329649
1995.465753,0.466501,0.321963
1995.484932,0.242169,0.331586
1995.50411,0.108944,0.344051
1995.523288,0.096453,0.359962
1995.542466,0.178623,0.404608
1995.561644,0.361076,0.467348
1995.580822,0.57555,0.554165
1995.6,0.708886,0.672783
1995.619178,0.903272,0.832272
1995.638356,1.031158,1.021068
1995.657534,1.023519,1.209949
1995.676712,1.176509,1.36194
1995.69589,1.531856,1.494113
1995.715069,1.877781,1.583222
1995.734247,2.061006,1.661265
1995.753425,1.943471,1.7309
1995.772603,1.898447,1.779868
1995.791781,1.705248,1.804838
1995.810959,1.733546,1.806916
1995.830137,1.650235,1.795265
1995.849315,1.617221,1.776739
1995.868493,1.756586,1.755302
1995.887671,1.896482,1.757762
1995.906849,1.956148,1.760786
1995.945206,1.726948,1.701922
1995.964384,1.724927,1.61445
1995.983562,1.757744,1.4861
1996.002732,1.507411,1.346886
1996.021858,1.28913,1.308014
1996.040984,1.056808,1.216261
1996.060109,0.869685,1.139629
1996.079235,0.842431,1.051564
1996.098361,0.997046,0.975056
1996.117486,0.90117,0.906804
1996.136612,1.035232,0.859674
1996.155738,0.965159,0.850709
1996.174863,0.818843,0.81893
1996.193989,0.674866,0.742931
1996.213115,0.632632,0.668389
1996.23224,0.789002,0.580125
1996.251366,0.556419,0.497991
1996.270492,0.313057,0.442858
1996.289618,0.230293,0.409644
1996.308743,0.240856,0.394161
1996.327869,0.225949,0.353914
1996.346995,0.322644,0.340474
1996.36612,0.375941,0.34408
1996.385246,0.493286,0.346536
1996.404372,0.426778,0.348235
1996.423497,0.435463,0.364576
1996.442623,0.345508,0.391227
1996.461749,0.252399,0.443208
1996.480874,0.256143,0.513534
1996.5,0.373026,0.5867
1996.519126,0.562495,0.657227
1996.538251,0.843775,0.732205
1996.557377,1.126217,0.814086
1996.576503,1.085272,0.880995
1996.595628,1.070208,0.944846
1996.614754,1.02031,1.002161
1996.63388,0.98933,1.073306
1996.653006,0.85832,1.156271
1996.672131,0.947691,1.250817
1996.691257,1.078329,1.358846
1996.710383,1.484079,1.479302
1996.729508,1.872902,1.611926
1996.748634,1.936183,1.779673
1996.76776,2.042472,1.951616
1996.786885,2.10441,2.086184
1996.806011,2.182947,2.158044
1996.825137,2.368046,2.143998
1996.844262,2.495177,2.106714
1996.863388,2.289436,2.049541
1996.882514,2.13082,1.942613
1996.901639,1.746493,1.819541
1996.920765,1.600624,1.681233
1996.939891,1.527921,1.57949
1996.959016,1.14205,1.444669
1996.978142,1.075301,1.336105
1996.997268,1.123275,1.265866
1997.016438,1.210867,1.115481
1997.035616,1.26231,1.084363
1997.054795,1.184583,1.046106
1997.073973,1.007629,1.013288
1997.093151,0.917831,0.993553
1997.112329,0.893107,0.953418
1997.131507,0.769243,0.893983
1997.150685,0.860732,0.853525
1997.169863,0.83568,0.811907
1997.189041,0.849644,0.776474
1997.208219,0.727397,0.723037
1997.227397,0.820465,0.682806
1997.246575,0.633064,0.643092
1997.265753,0.598934,0.629275
1997.284932,0.41217,0.626126
1997.30411,0.407166,0.634321
1997.323288,0.503304,0.635924
1997.342466,0.711335,0.645396
1997.361644,0.821302,0.650365
1997.380822,0.801148,0.660871
1997.4,0.834891,0.678172
1997.419178,0.71831,0.700471
1997.438356,0.643657,0.729976
1997.457534,0.506728,0.770639
1997.476712,0.562876,0.830926
1997.49589,0.703994,0.89182
1997.515069,0.976881,0.960683
1997.534247,1.187262,1.050927
1997.553425,1.343738,1.17391
1997.572603,1.382933,1.308136
1997.591781,1.338079,1.445316
1997.610959,1.455855,1.582328
1997.630137,1.61357,1.717477
1997.649315,1.770908,1.842071
1997.668493,1.938617,1.940711
1997.687671,2.209988,2.037199
1997.706849,2.403602,2.130521
1997.726027,2.465082,2.223107
1997.745206,2.270698,2.311101
1997.764384,2.206472,2.387432
1997.783562,2.295752,2.41304
1997.80274,2.446841,2.380722
1997.821918,2.562854,2.319642
1997.841096,2.625593,2.255388
1997.860274,2.440468,2.188773
1997.879452,2.112738,2.114382
1997.89863,1.915361,2.019593
1997.917808,1.692408,1.91807
1997.936986,1.606941,1.804339
1997.956164,1.626229,1.706114
1997.975343,1.593742,1.644691
1997.994521,1.64915,1.600591
1998.013699,1.602018,1.570699
1998.032877,1.55644,1.549402
1998.052055,1.55993,1.511094
1998.071233,1.518458,1.475243
1998.090411,1.423388,1.42525
1998.109589,1.415268,1.382418
1998.128767,1.281449,1.349512
1998.147945,1.271091,1.304978
1998.167123,1.199208,1.243452
1998.186301,1.21653,1.193326
1998.20548,1.260284,1.153212
1998.224658,1.159125,1.131952
1998.243836,0.964724,1.107431
1998.263014,0.972253,1.085675
1998.282192,1.054244,1.037756
1998.30137,1.090111,0.960006
1998.320548,1.050395,0.885588
1998.339726,1.003412,0.836685
1998.358904,0.785259,0.795302
1998.378082,0.560527,0.758938
1998.39726,0.489368,0.736496
1998.416438,0.524599,0.729909
1998.435616,0.5998,0.73698
1998.454795,0.726969,0.755966
1998.473973,0.888136,0.78505
1998.493151,0.991108,0.817188
1998.512329,1.067054,0.866397
1998.531507,0.956139,0.924071
1998.550685,0.822278,0.981776
1998.569863,0.778608,1.034426
1998.589041,0.967486,1.103851
1998.608219,1.11886,1.176562
1998.627397,1.246315,1.258003
1998.646575,1.361991,1.344717
1998.665753,1.615927,1.429476
1998.684932,1.721455,1.507636
1998.70411,1.689112,1.572732
1998.723288,1.6027,1.636997
1998.742466,1.541438,1.710147
1998.761644,1.670926,1.747709
1998.780822,1.704725,1.751761
1998.8,1.824704,1.737572
1998.819178,2.020333,1.715042
1998.838356,1.953986,1.707535
1998.857534,1.757924,1.705006
1998.876712,1.561414,1.701038
1998.89589,1.39993,1.67998
1998.915069,1.473873,1.627293
1998.934247,1.648164,1.570165
1998.953425,1.669015,1.527774
1998.972603,1.635185,1.484593
1998.991781,1.546144,1.427663
1999.010959,1.439842,1.367521
1999.030137,1.376397,1.318484
1999.049315,1.17279,1.31598
1999.068493,0.887564,1.300511
1999.087671,0.932591,1.26351
1999.106849,1.206827,1.21775
1999.126027,1.646484,1.17085
1999.145206,1.495961,1.158969
1999.164384,1.213139,1.182055
1999.183562,1.028003,1.204424
1999.20274,0.954292,1.192412
1999.221918,1.065864,1.119271
1999.241096,1.095337,1.068249
1999.260274,1.133911,1.039845
1999.279452,1.098716,1.023763
1999.29863,0.98822,1.003174
1999.317808,1.036762,0.96194
1999.336986,0.957503,0.923258
1999.356164,0.88326,0.890652
1999.375343,0.768997,0.856873
1999.394521,0.694751,0.849254
1999.413699,0.747199,0.83827
1999.432877,0.840456,0.836803
1999.452055,0.79471,0.851428
1999.471233,0.919648,0.886225
1999.490411,0.937903,0.938866
1999.509589,0.944301,0.99734
1999.528767,1.014884,1.064228
1999.547945,1.082174,1.155412
1999.567123,1.168519,1.251298
1999.586301,1.273464,1.367659
1999.60548,1.442449,1.463617
1999.624658,1.61537,1.564569
1999.643836,1.782621,1.682041
1999.663014,1.985153,1.822251
1999.682192,1.807923,1.969244
1999.70137,1.923451,2.119206
1999.720548,2.139416,2.248269
1999.739726,2.430411,2.359236
1999.758904,2.596402,2.423259
1999.778082,2.79211,2.489844
1999.79726,2.776937,2.545097
1999.816438,2.781325,2.578109
1999.835616,2.561356,2.579478
1999.854795,2.407186,2.574922
1999.873973,2.420725,2.54397
1999.893151,2.436532,2.528994
1999.912329,2.442732,2.497141
1999.931507,2.555393,2.454089
1999.950685,2.51354,2.420923
1999.969863,2.642158,2.387927
1999.989041,2.494643,2.367867
2000.008197,2.173895,2.345681
2000.027322,2.108692,2.281838
2000.046448,2.123755,2.205453
2000.065574,2.255994,2.120339
2000.0847,2.243057,2.045985
2000.103825,1.980803,1.991388
2000.122951,1.826082,1.948563
2000.142077,1.876131,1.916521
2000.161202,1.825457,1.863689
2000.180328,1.682524,1.811038
2000.199454,1.723266,1.761843
2000.218579,1.835374,1.720853
2000.237705,1.780507,1.668923
2000.256831,1.769197,1.613151
2000.275956,1.538045,1.568074
2000.295082,1.457173,1.509816
2000.314208,1.408762,1.460645
2000.333333,1.323511,1.432141
2000.352459,1.276828,1.403066
2000.371585,1.198945,1.384379
2000.39071,1.392835,1.364523
2000.409836,1.523972,1.3512
2000.428962,1.507524,1.360706
2000.448087,1.369862,1.39198
2000.467213,1.278471,1.434043
2000.486339,1.288849,1.455842
2000.505465,1.409071,1.467724
2000.52459,1.558291,1.505749
2000.543716,1.577509,1.576437
2000.562842,1.58903,1.663109
2000.581967,1.630906,1.749317
2000.601093,1.849752,1.814051
2000.620219,2.006053,1.892906
2000.639344,2.058516,2.006902
2000.65847,2.064723,2.158076
2000.677596,1.991676,2.318854
2000.696721,2.267988,2.459205
2000.715847,2.603472,2.569257
2000.734973,2.949595,2.65428
2000.754098,3.077909,2.737712
2000.773224,3.112913,2.852379
2000.79235,2.996524,2.939162
2000.811475,2.823719,2.998759
2000.830601,2.815611,3.01015
2000.849727,3.023678,2.978446
2000.868853,3.049038,2.916361
2000.887978,3.139845,2.853002
2000.907104,3.05211,2.810442
2000.92623,2.792573,2.809796
2000.945355,2.554153,2.772212
2000.964481,2.426293,2.729329
2000.983607,2.440676,2.668059
2001.00274,2.723005,2.523601
2001.021918,2.705975,2.476092
2001.041096,2.649685,2.432452
2001.060274,2.412373,2.386093
2001.079452,2.276646,2.362425
2001.09863,2.174082,2.321502
2001.117808,2.077172,2.267158
2001.136986,2.069804,2.199389
2001.156164,2.173079,2.158615
2001.175343,2.354703,2.13979
2001.194521,2.216877,2.118326
2001.213699,2.039766,2.095021
2001.232877,2.045403,2.070494
2001.252055,2.107226,2.029406
2001.271233,1.980899,1.978636
2001.290411,1.867429,1.949218
2001.309589,1.849065,1.938824
2001.328767,1.803288,1.926992
2001.347945,1.897773,1.88702
2001.367123,1.952117,1.850817
2001.386301,1.946219,1.851619
2001.40548,1.938916,1.887047
2001.424658,1.747471,1.946799
2001.443836,1.655074,2.013039
2001.463014,1.874649,2.069921
2001.482192,2.167917,2.130966
2001.50137,2.341059,2.202769
2001.520548,2.493932,2.299023
2001.539726,2.464049,2.40165
2001.558904,2.495627,2.473989
2001.578082,2.58514,2.527264
2001.59726,2.61376,2.599536
2001.616438,2.578716,2.690207
2001.635616,2.525701,2.806644
2001.654795,2.647392,2.927424
2001.673973,2.991508,3.036893
2001.693151,3.30997,3.126886
2001.712329,3.511985,3.205129
2001.731507,3.582642,3.27698
2001.750685,3.570361,3.36073
2001.769863,3.423701,3.436998
2001.789041,3.282898,3.485496
2001.808219,3.172364,3.487973
2001.827397,3.401141,3.451428
2001.846575,3.677921,3.389504
2001.865753,3.746456,3.38523
2001.884932,3.534271,3.330285
2001.90411,3.253744,3.302463
2001.923288,3.013044,3.2436
2001.961644,2.843342,2.994359
2001.980822,2.949784,2.869119
2002,2.930235,2.778116
2002.019178,2.860116,2.716648
2002.038356,2.570336,2.696692
2002.057534,2.532348,2.680236
2002.076712,2.525726,2.654334
2002.09589,2.521295,2.607529
2002.115069,2.537047,2.553716
2002.134247,2.69524,2.516958
2002.153425,2.716663,2.466339
2002.172603,2.508988,2.416369
2002.191781,2.375805,2.357614
2002.210959,2.239512,2.291199
2002.230137,2.076778,2.201562
2002.249315,2.075991,2.126314
2002.268493,1.992505,2.084489
2002.287671,1.939307,2.050295
2002.306849,1.888509,2.006723
2002.326027,2.03943,1.97267
2002.345206,2.132565,1.939999
2002.364384,2.068056,1.916034
2002.383562,1.847363,1.913032
2002.40274,1.770306,1.925407
2002.421918,1.781946,1.915087
2002.441096,1.776826,1.907354
2002.460274,1.912286,1.919896
2002.479452,1.999887,1.972155
2002.49863,1.94655,2.066161
2002.517808,2.062964,2.169186
2002.536986,2.180935,2.280162
2002.556164,2.317697,2.378415
2002.575343,2.616356,2.473079
2002.594521,2.709179,2.560346
2002.613699,2.775606,2.656283
2002.632877,2.796565,2.757325
2002.652055,2.851859,2.83895
2002.671233,2.731954,2.888736
2002.690411,2.926398,2.94641
2002.709589,3.090313,3.013977
2002.728767,3.052322,3.105493
2002.747945,3.064427,3.171437
2002.767123,3.228248,3.213778
2002.786301,3.383707,3.232258
2002.80548,3.620207,3.238782
2002.824658,3.445355,3.251467
2002.843836,3.113026,3.250598
2002.863014,3.092715,3.214676
2002.882192,3.149028,3.155125
2002.90137,3.166488,3.070825
2002.920548,3.056608,2.997502
2002.939726,2.904953,2.951917
2002.958904,2.847745,2.89467
2002.978082,2.861505,2.846176
2002.99726,2.785447,2.814931
2003.016438,2.702767,2.803888
2003.035616,2.577491,2.800154
2003.054795,2.712582,2.78484
2003.073973,2.885279,2.739088
2003.093151,2.957219,2.68868
2003.112329,2.871347,2.641975
2003.131507,2.70992,2.611139
2003.150685,2.44974,2.565307
2003.169863,2.331775,2.505932
2003.189041,2.282426,2.439074
2003.208219,2.299964,2.375986
2003.227397,2.300094,2.310157
2003.246575,2.350901,2.271042
2003.265753,2.355499,2.248818
2003.284932,2.303554,2.23832
2003.30411,2.117458,2.228178
2003.323288,2.097709,2.227544
2003.342466,2.131756,2.205273
2003.361644,2.187944,2.181863
2003.380822,2.208688,2.160363
2003.4,2.294387,2.163723
2003.419178,2.150459,2.177742
2003.438356,2.144814,2.183042
2003.457534,2.110049,2.19419
2003.476712,2.147701,2.21304
2003.49589,2.223877,2.231153
2003.515069,2.179457,2.282964
2003.534247,2.288279,2.331831
2003.553425,2.378336,2.407479
2003.572603,2.457405,2.498858
2003.591781,2.61676,2.60895
2003.610959,2.584612,2.74276
2003.630137,2.790883,2.871786
2003.649315,2.970115,2.992207
2003.668493,3.214698,3.126134
2003.687671,3.383751,3.254504
2003.706849,3.449514,3.376817
2003.726027,3.462123,3.478693
2003.745206,3.662748,3.5725
2003.764384,3.772089,3.635489
2003.783562,3.685435,3.650058
2003.80274,3.707762,3.664452
2003.821918,3.814375,3.689743
2003.841096,3.781605,3.656752
2003.860274,3.514873,3.613233
2003.879452,3.579058,3.58038
2003.917808,3.398822,3.418249
2003.936986,3.423933,3.332776
2003.956164,3.422611,3.284792
2003.975343,3.173904,3.241637
2003.994521,3.051187,3.222051
2004.013661,3.097822,3.166055
2004.032787,3.130998,3.078793
2004.051913,3.233818,2.976807
2004.071038,3.06536,2.906862
2004.090164,2.894861,2.870376
2004.10929,2.638576,2.817565
2004.128415,2.504735,2.73417
2004.147541,2.544397,2.660856
2004.166667,2.722821,2.621129
2004.185792,2.622518,2.572982
2004.204918,2.380446,2.542879
2004.224044,2.573992,2.522356
2004.243169,2.707811,2.503771
2004.262295,2.461546,2.446119
2004.281421,2.367646,2.386336
2004.300546,2.320026,2.351121
2004.319672,2.37713,2.29027
2004.338798,2.20396,2.225459
2004.357924,2.084469,2.19431
2004.377049,2.063505,2.18443
2004.396175,2.026334,2.194596
2004.415301,2.124517,2.215427
2004.434426,2.181199,2.269855
2004.453552,2.278728,2.334281
2004.472678,2.41152,2.395779
2004.491803,2.564606,2.458239
2004.510929,2.693816,2.513166
2004.530055,2.664305,2.580049
2004.54918,2.616983,2.67204
2004.568306,2.588479,2.764629
2004.587432,2.618855,2.844269
2004.606557,2.783149,2.92573
2004.625683,3.106644,3.026733
2004.644809,3.244824,3.141803
2004.663934,3.281366,3.262636
2004.68306,3.426961,3.371958
2004.702186,3.573339,3.480328
2004.721312,3.652606,3.560822
2004.740437,3.675979,3.612144
2004.759563,3.602753,3.654351
2004.778689,3.758476,3.676065
2004.797814,3.831094,3.676607
2004.81694,3.70672,3.650839
2004.836066,3.661232,3.620828
2004.855191,3.622387,3.606432
2004.874317,3.578216,3.576842
2004.893443,3.420689,3.535966
2004.912568,3.405881,3.518574
2004.931694,3.473188,3.500741
2004.95082,3.49217,3.477242
2004.969945,3.463214,3.427271
2004.989071,3.550186,3.382496
2005.008219,3.434395,3.317964
2005.027397,3.178443,3.282201
2005.046575,3.062492,3.233799
2005.065753,3.17847,3.162216
2005.084932,3.184343,3.144705
2005.10411,3.206069,3.110819
2005.123288,3.075993,3.096685
2005.142466,2.977527,3.062309
2005.161644,3.00461,2.997443
2005.180822,3.129426,2.942556
2005.2,3.051239,2.889967
2005.219178,2.753103,2.853754
2005.238356,2.594682,2.824311
2005.257534,2.690352,2.792611
2005.276712,2.732772,2.74497
2005.29589,2.750076,2.722815
2005.315069,2.71254,2.735656
2005.334247,2.719313,2.762224
2005.353425,2.700657,2.783596
2005.372603,2.85184,2.796279
2005.391781,2.868675,2.810141
2005.410959,2.833788,2.815459
2005.430137,2.882709,2.829884
2005.449315,2.846915,2.851521
2005.468493,2.874836,2.864341
2005.487671,2.760396,2.893105
2005.506849,2.849141,2.941684
2005.526027,2.895395,2.978274
2005.545206,2.967212,3.023757
2005.564384,3.127557,3.080293
2005.583562,3.270999,3.167792
2005.60274,3.212018,3.259861
2005.621918,3.256259,3.359251
2005.641096,3.38366,3.453502
2005.660274,3.547891,3.494245
2005.679452,3.677757,3.58751
2005.69863,3.789906,3.688448
2005.717808,3.815468,3.788129
2005.756164,4.017121,3.935402
2005.775343,4.01952,3.996259
2005.794521,4.053707,4.059898
2005.813699,4.058711,4.124343
2005.832877,4.051024,4.135475
2005.852055,4.164613,4.142294
2005.871233,4.299021,4.143271
2005.890411,4.331028,4.140346
2005.909589,4.224533,4.12544
2005.928767,4.078492,4.095155
2005.947945,4.028308,4.032507
2005.967123,4.027383,3.928091
2005.986301,3.924561,3.814609
2006.00548,3.77846,3.722315
2006.024658,3.600781,3.631765
2006.043836,3.359269,3.531714
2006.063014,3.309691,3.426301
2006.082192,3.393892,3.334631
2006.10137,3.263543,3.256011
2006.120548,3.127843,3.180161
2006.139726,3.078674,3.113923
2006.158904,3.099527,3.056436
2006.178082,3.07088,2.997278
2006.19726,2.918127,2.950967
2006.216438,2.763132,2.929075
2006.235616,2.79231,2.896846
2006.254795,2.861471,2.862768
2006.273973,2.846737,2.836866
2006.293151,2.930816,2.845526
2006.312329,2.788614,2.868614
2006.331507,2.79282,2.890041
2006.350685,2.83777,2.905775
2006.369863,2.996063,2.925973
2006.389041,2.970921,2.94295
2006.408219,2.985161,2.978794
2006.427397,3.00307,3.031898
2006.446575,3.028524,3.078497
2006.465753,3.083603,3.105785
2006.484932,3.111215,3.151404
2006.50411,3.270758,3.206685
2006.523288,3.257154,3.253812
2006.542466,3.241662,3.290717
2006.561644,3.381489,3.325602
2006.580822,3.482693,3.399355
2006.6,3.427206,3.47286
2006.619178,3.360671,3.573726
2006.638356,3.397573,3.691922
2006.657534,3.774987,3.797795
2006.676712,3.9323,3.86792
2006.69589,4.164951,3.960938
2006.715069,4.305428,4.078777
2006.734247,4.33434,4.205558
2006.753425,4.113818,4.29066
2006.772603,4.264369,4.335455
2006.791781,4.421221,4.359813
2006.810959,4.538607,4.326501
2006.830137,4.540904,4.270777
2006.887671,4.072247,4.143601
2006.906849,3.944275,4.043081
2006.926027,3.982764,3.93334
2006.945206,3.987486,3.895108
2006.964384,3.938924,3.851816
2006.983562,3.834964,3.791377
2007.00274,3.772723,3.722082
2007.021918,3.627485,3.647637
2007.041096,3.505474,3.558367
2007.060274,3.528302,3.470578
2007.079452,3.320615,3.398549
2007.09863,3.312757,3.352725
2007.117808,3.184057,3.314502
2007.136986,3.148829,3.273474
2007.156164,3.186703,3.232867
2007.175343,3.360305,3.220381
2007.194521,3.28348,3.225954
2007.213699,3.13622,3.247922
2007.232877,3.162841,3.267903
2007.252055,3.208238,3.274591
2007.271233,3.362914,3.244213
2007.290411,3.381768,3.215082
2007.309589,3.328658,3.217957
2007.328767,3.246897,3.21498
2007.347945,3.086898,3.193586
2007.367123,3.021302,3.152605
2007.386301,3.162099,3.103838
2007.40548,3.136048,3.080763
2007.424658,3.015687,3.074658
2007.443836,2.994085,3.07606
2007.463014,2.94287,3.08783
2007.482192,3.120985,3.086033
2007.50137,3.191947,3.100886
2007.520548,3.099514,3.137627
2007.539726,3.127233,3.197504
2007.558904,3.145924,3.27494
2007.578082,3.269725,3.33304
2007.59726,3.346361,3.379948
2007.616438,3.532978,3.443182
2007.635616,3.639789,3.52238
2007.654795,3.643888,3.62041
2007.673973,3.61412,3.711925
2007.693151,3.66862,3.801768
2007.712329,3.840015,3.879952
2007.731507,4.028195,3.939112
2007.750685,4.093361,4.002234
2007.769863,4.154944,4.072005
2007.789041,4.236633,4.153395
2007.808219,4.172236,4.232501
2007.827397,4.211983,4.293904
2007.846575,4.242056,4.331671
2007.865753,4.401134,4.33588
2007.884932,4.551967,4.306142
2007.90411,4.580821,4.264833
2007.923288,4.433269,4.21587
2007.942466,4.192819,4.172658
2007.961644,3.968994,4.11006
2007.980822,3.800459,4.026071
2008,3.771312,3.934331
2008.019126,3.853145,3.843912
2008.038251,3.837754,3.760776
2008.057377,3.796064,3.706708
2008.076503,3.755158,3.652453
2008.095628,3.619506,3.594844
2008.114754,3.444594,3.541924
2008.13388,3.48238,3.509075
2008.153006,3.312162,3.473338
2008.172131,3.252834,3.437652
2008.191257,3.376863,3.400314
2008.210383,3.54211,3.398039
2008.229508,3.474437,3.383348
2008.248634,3.433977,3.381632
2008.26776,3.283465,3.379913
2008.286885,3.424124,3.412458
2008.306011,3.350157,3.425298
2008.325137,3.29672,3.441118
2008.344262,3.237362,3.460533
2008.363388,3.669769,3.481342
2008.382514,3.657667,3.496091
2008.401639,3.616818,3.528642
2008.420765,3.608715,3.568767
2008.439891,3.470744,3.624005
2008.459016,3.556869,3.636877
2008.478142,3.643118,3.65771
2008.497268,3.657837,3.687602
2008.516393,3.734512,3.724688
2008.535519,3.78561,3.788073
2008.554645,3.845168,3.855689
2008.573771,3.885843,3.917637
2008.592896,3.942486,3.995926
2008.612022,4.041216,4.067053
2008.631148,4.165411,4.134912
2008.650273,4.200648,4.200042
2008.669399,4.36244,4.274222
2008.688525,4.374656,4.35998
2008.70765,4.396344,4.431621
2008.726776,4.431331,4.498472
2008.745902,4.553463,4.551947
2008.765027,4.714311,4.592175
2008.784153,4.68599,4.637931
2008.803279,4.767064,4.685294
2008.822404,4.681928,4.737115
2008.84153,4.724488,4.782222
2008.860656,4.786456,4.791172
2008.879781,4.822611,4.779778
2008.898907,4.897722,4.732536
2008.918033,4.959427,4.679824
2008.937159,4.794861,4.674241
2008.956284,4.583444,4.594738
2008.97541,4.341891,4.5251
2008.994536,4.207519,4.430577
2009.013699,4.150433,4.206764
2009.032877,4.265505,4.118643
2009.052055,4.141538,4.04031
2009.071233,4.044651,3.982124
2009.090411,3.919131,3.967582
2009.109589,3.878473,3.939507
2009.128767,3.71523,3.904635
2009.147945,3.74203,3.87759
2009.167123,3.85125,3.86645
2009.186301,3.897752,3.860186
2009.20548,3.951659,3.849643
2009.224658,3.898132,3.856258
2009.243836,3.944398,3.857149
2009.263014,3.862754,3.84865
2009.282192,3.78358,3.832433
2009.30137,3.774763,3.806402
2009.320548,3.750052,3.782346
2009.339726,3.774757,3.765326
2009.358904,3.751798,3.76651
2009.378082,3.717388,3.777072
2009.39726,3.681626,3.795066
2009.416438,3.79122,3.807391
2009.435616,3.873405,3.815314
2009.454795,3.878641,3.830136
2009.473973,3.936704,3.872358
2009.493151,3.860978,3.933589
2009.512329,3.846067,3.98701
2009.531507,3.885194,4.038483
2009.550685,4.097384,4.102665
2009.569863,4.232709,4.178442
2009.589041,4.272009,4.280789
2009.608219,4.336662,4.402105
2009.627397,4.456275,4.537004
2009.646575,4.618696,4.663628
2009.665753,4.782105,4.777727
2009.684932,4.937907,4.900878
2009.70411,5.099288,5.012288
2009.723288,5.237004,5.116719
